review,score
너무 열받는 영화네요 중간에 박차고 나오고싶었지만 꾹 참고 끝까지 봤는데 같이 미쳐가는것 같았어요  욕을 반시간 했는데 진짜 안본눈 삽니다 이건 거지같은 영화에요 이딴걸 많은 사람도 정상이 아니고 이걸 재밌다고 하는...,2
 솔직히 지루한 전개이고 개연성이 없지만 마지막 반전은 인상적이였다. 주위 사람들에게 추천은 못 해주겠다. ,6
여기서 10점은 알바임 많이줘야 5점 짜리영화 중간에 지루해 심지어 ,2
"기대이하 ㅠㅠ 뭐 나름 비주얼과 음악은 독특해서 좋았지만, 예측가능한 반전에, 개그코드도 별로도, 그렇다고 공포 스릴러도 아니고, 좀비 영화 따라하는 그런 느낌인데... 스토리도 설명도 없고... 정말 별루인 영화 ...",6
최악 사이코영화 돈주고 보기 너무 아까운영화 ,1
오늘 새벽 12시35분 홍대cgv에서 봤는데요.도플갱어라는 좋은 소재로 최악의 영화를 만들었네요.처음 15분정도 집중해서 보다가 헛웃음만 치다가 나왔네요.개연성도 없고 스토리도 형편없고 무섭지도 않고...비추합니다....,5
포스터에서 주인공이 울고있던 이유 ,10
노잼 꼴깝떠는 영화 시간낭비 절대 보지말것 ,1
..개실망 걍비급영화조잡해 ,2
인생 최대의 쓰레기영화 ,1
이런 영화 다시 영화관 가서 보나 봐라 ㅠㅠ 나중에 애인이 보자고 해도 안본다 ,1
관람객심야로 보다가 중간에 잠듬....인생에 영화관에서 잠든거 두번째ㅋㅋㅋㅋ ,1
"훌륭한 사나리오,연출,연기,음악 ,촬영..마지막까지 궁금한 영화.아쉽게도 재미는 없다. ",6
결말 이해한 순간 개소름 ㄷ ㄷ ,10
감독이  전하고 싶은 메세지를 표현하는데 열중한 나머지 오히려 관객에게 이해하라고 강요를 한다 ,4
상징 과잉. 감독 자의식 과잉 ,2
무서우려다 말은 사이코같은 영화 복제인간이나 인종차별에대한 내용이라기엔 부족한듯 ,6
평론가 아는척하는 빨갱이새끼들 싹다 안쳐내냐? ,1
"개연성 부족에 너무 급전개, 풀어나가는 능력이 없다 겟아웃 감독이라길래 기대했지만 겟아웃의 반도 못 간다, 딱 ㄴ플릭스급 영화 ",4
어휴 알바를 얼마나 푼거야 ,1
겟아웃에 이은 흑인 망상영화. 죽는사람들 대부분 백인이고 흑인가족이 다 죽이는 역할. 그와중에 아시안이나 히스패닉은 눈씻고 찾아볼수없음. 흑인 나치영화 ,6
보지마ㅡ하하ㅡ보면후회ㅡ지루ㅠㅠ잔인 ,1
무엇이든지 이유가 없이 시작되고.평범힌 가족들끼리 갑자기 나는 몇명죽였네스코어 냄..이해안가는 요소많음..막내아들 의 빨간옷만 왜 행동을 따라했는지.좀더 자신들의 생각을 안고있다고 하면 그걸 좀 이용해서 만들었으면 ...,1
겟아웃은 긴장의 끈을 놓을 수 없었고 정말 마지막에 뒤통수를 때려맞는 느낌이었는데 어스는 그정도는 아닙니다. 풀어나가는 과정이 좀 어설픈느낌? ,5
관람객겟아웃 찍고 나서 오만해진 감독...겟 아웃~~!! ,2
정말 겟아웃보고봤는데 리얼노잼.. ,1
관람객스토리 짜임새가 다소 미흡했던 영화 ,2
공포영화 치고는 무섭지는 않았지만 정신이 피폐해진 느낌..? ,10
저는 개인적으로 겟아웃이 훨씬 재밌었어요. 개연성 부분에서 아쉽고 좀... 주인공 가족만 굳이 살려두는 것 같고... 반전도 엄청 큰 반전이 아니었다고 생각이 들어요... ,1
관람객목소리에서 소름...뒤로 갈수록 소오름..소름 ,10
아들 도플갱어는 왜 화상을 입었을까? 아들은 엄마의 정체를 의심한걸까? ,6
무섭지도 깜짝놀라지도 않고 설정도 과한거같고 너무 억지로 스토리가 가는거같음 개인적으로 굉장히 기대하고 봤는데 별로였음.. ,1
최악의 영화~ 너무 재미없음.. 답답하고 지루함 아빠가 제일 약해ㅋㅋㅋ 반전은 여자주인공이 복제 인간임 어렸을때 자기가 바꿈~ 그래서 실제 인간이 복제인간 복수 하는건데 개 병맛 영화임 ,1
이건 모  반전에  반전이다감독의  상상력  자체가 반전이고  놀랍다.입소문 타고 300 만은  찍을듯~!!! ,10
관람객예고편보고 기대했다가 실망함 ,6
이런영화 호평하면 막 같이 심오해지고 달라보이는거같지? 그냥 감독 정신감정 의뢰부탁.. ,1
나만당할순없지 꼭봐라ㅋㅋㅋㅋ ,10
관람객기대를 너무 하고 봤네요.... ,6
